game_pk,game_date,home_team,away_team,home_win,sim_home_wp,kalshi_home_prob,edge,sim_total_runs,sim_home_runs,sim_away_runs,kalshi_volume
778251,2025-04-19,TEX,LAD,1,0.511,0.52,-0.009000000000000008,8.571,4.141,4.43,18937.0
778247,2025-04-19,COL,WSH,0,0.512,0.44,0.07200000000000001,7.930999999999999,4.012,3.919,11356.0
778264,2025-04-19,BOS,CWS,1,0.524,0.77,-0.246,7.112,3.59,3.522,23101.0
778255,2025-04-19,TB,NYY,1,0.608,0.55,0.05799999999999994,8.962,4.911,4.051,36892.0
778243,2025-04-19,LAA,SF,0,0.323,0.46,-0.137,9.15,3.611,5.539,27527.0
778250,2025-04-20,BAL,CIN,0,0.556,0.64,-0.08399999999999996,8.573,4.381,4.192,16291.0
778242,2025-04-20,PIT,CLE,0,0.604,0.54,0.06399999999999995,8.033,4.407,3.626,23038.0
778249,2025-04-20,ATL,MIN,1,0.383,0.53,-0.14700000000000002,9.027999999999999,3.832,5.196,5829.0
778245,2025-04-20,BOS,CWS,0,0.562,0.77,-0.20799999999999996,8.674,4.577,4.097,15888.0
778248,2025-04-20,PHI,MIA,0,0.537,0.78,-0.243,9.058,4.573,4.485,26576.0
778241,2025-04-20,TOR,SEA,0,0.48,0.5,-0.020000000000000018,9.207999999999998,4.358,4.85,10201.0
778246,2025-04-20,DET,KC,0,0.513,0.69,-0.17699999999999994,9.835,4.842,4.993,21846.0
778244,2025-04-20,NYM,STL,1,0.531,0.59,-0.05899999999999994,8.496,4.238,4.258,3374.0
778240,2025-04-20,TB,NYY,0,0.516,0.41,0.10600000000000004,8.889,4.468,4.421,13022.0
778239,2025-04-20,MIL,ATH,1,0.537,0.56,-0.02300000000000002,9.725999999999999,4.919,4.807,7209.0
778236,2025-04-20,CHC,AZ,0,0.502,0.59,-0.08799999999999997,9.603000000000002,4.746,4.857,54600.0
778234,2025-04-20,TEX,LAD,0,0.443,0.41,0.03300000000000003,8.186,3.727,4.459,20498.0
778235,2025-04-20,COL,WSH,0,0.391,0.38,0.01100000000000001,8.94,3.714,5.226,9550.0
778266,2025-04-20,COL,WSH,1,0.299,0.38,-0.08100000000000002,10.177,3.75,6.427,9550.0
778232,2025-04-20,LAA,SF,1,0.545,0.5,0.04500000000000004,9.572,4.952,4.62,54570.0
778237,2025-04-20,HOU,SD,0,0.463,0.51,-0.046999999999999986,8.93,4.206,4.724,67884.0
778238,2025-04-21,BOS,CWS,1,0.472,0.72,-0.248,10.142,4.81,5.332,81044.0
778227,2025-04-21,CLE,NYY,1,0.414,0.45,-0.03600000000000003,8.274,3.602,4.672,61230.0
778228,2025-04-21,DET,SD,1,0.449,0.57,-0.12099999999999994,9.641,4.46,5.181,39550.0
778230,2025-04-21,MIA,CIN,1,0.495,0.49,0.0050000000000000044,8.343,4.037,4.306,17089.0
778225,2025-04-21,NYM,PHI,1,0.491,0.57,-0.07899999999999996,8.632,4.161,4.471,17200.0
778233,2025-04-21,ATL,STL,1,0.505,0.67,-0.16500000000000004,8.008000000000001,3.975,4.033,18482.0
778231,2025-04-21,HOU,TOR,1,0.485,0.57,-0.08499999999999996,8.779,4.04,4.739,16538.0
778226,2025-04-21,SF,MIL,1,0.494,0.55,-0.05600000000000005,10.212,4.926,5.286,47977.0
778218,2025-04-22,CLE,NYY,1,0.518,0.5,0.018000000000000016,8.126000000000001,4.049,4.077,57178.0
778221,2025-04-22,DET,SD,0,0.5,0.56,-0.06000000000000005,9.177,4.503,4.674,14584.0
778219,2025-04-22,MIA,CIN,1,0.591,0.49,0.10099999999999998,9.065,4.925,4.14,14041.0
778222,2025-04-22,WSH,BAL,1,0.539,0.45,0.08900000000000002,9.806000000000001,4.944,4.862,8519.0
778224,2025-04-22,BOS,SEA,1,0.39,0.54,-0.15000000000000002,9.299,3.98,5.319,20025.0
778223,2025-04-22,NYM,PHI,1,0.423,0.47,-0.046999999999999986,8.754999999999999,3.865,4.89,17927.0
778229,2025-04-22,ATL,STL,0,0.52,0.59,-0.06999999999999995,8.123000000000001,4.008,4.115,21075.0
778215,2025-04-22,KC,COL,1,0.591,0.7,-0.10899999999999999,8.696,4.654,4.042,20503.0
778220,2025-04-22,CHC,LAD,1,0.231,0.48,-0.24899999999999997,8.725000000000001,2.849,5.876,55124.0
778216,2025-04-22,MIN,CWS,1,0.618,0.7,-0.08199999999999996,9.607,5.289,4.318,9461.0
778217,2025-04-22,HOU,TOR,1,0.541,0.49,0.051000000000000045,9.667,4.848,4.819,6647.0
778211,2025-04-22,LAA,PIT,0,0.652,0.65,0.0020000000000000018,9.292,5.295,3.997,35068.0
778212,2025-04-22,AZ,TB,1,0.6,0.63,-0.030000000000000027,9.381,5.072,4.309,20958.0
778210,2025-04-22,SF,MIL,0,0.453,0.58,-0.12699999999999995,9.568999999999999,4.471,5.098,18077.0
778213,2025-04-22,ATH,TEX,0,0.617,0.53,0.08699999999999997,8.216,4.504,3.712,23642.0
