month,n_games,log_loss,brier,auc
3,142,0.6848037695101843,0.24585767929389096,0.5774647887323943
4,1893,0.6765830043334021,0.2418356236387851,0.5973459067311035
5,2072,0.6768993627624074,0.24203352688425503,0.5945940382081686
6,1990,0.67822636023871,0.24261652245651247,0.5874388894763813
7,1970,0.6885082532378766,0.24749426289922913,0.565034525012005
8,2484,0.6719134281706293,0.23959180551637707,0.6152787162162162
9,2357,0.6761123075247231,0.24162863126012557,0.5998105581304546
10,138,0.6665107381395556,0.2366365693265042,0.5846836847946726
