tier,conviction_lo,conviction_hi,n_games,log_loss,brier,auc,accuracy
low,0.0,0.03,2743,0.6943567432636935,0.25060414945870685,0.48855029223904567,0.4979948960991615
medium,0.03,0.07,3412,0.6885168558606727,0.24768861505027437,0.5490479176291994,0.5474794841735052
high,0.07,0.12,3431,0.6751795803212338,0.24108004481221482,0.6037130310414456,0.5922471582628971
extreme,0.12,1.0,3460,0.6563028627441415,0.23185690069203652,0.6069361624923325,0.6341040462427746
