game_pk,game_date,season,home_team,away_team,home_win,lr_prob,xgb_prob,ens_prob,ens_calibrated,days_into_season,home_team_games_played,away_team_games_played,baseline_home,baseline_prior,kalshi_home_prob,kalshi_prob,model_prob,edge
778303,2025-04-16,2025,MIA,AZ,0,0.4132781531003083,0.5047621,0.44433443138619144,0.4346210995542348,29,16,17,0.5297880589299561,0.4392736609943865,0.44,0.44,0.44433443138619144,0.00433443138619144
778287,2025-04-16,2025,LAD,COL,1,0.6531088551221382,0.56733483,0.6239909423160563,0.6221498371335505,29,19,17,0.5297880589299561,0.6507073182118638,0.74,0.74,0.6239909423160563,-0.11600905768394365
778289,2025-04-16,2025,TEX,LAA,1,0.522092853981885,0.57360375,0.5395793805717807,0.5347472924187723,29,17,16,0.5297880589299561,0.5803895731894854,0.46,0.46,0.5395793805717807,0.07957938057178066
778294,2025-04-16,2025,CWS,ATH,0,0.447309627592439,0.4055447,0.43313158732510804,0.4346210995542348,29,16,17,0.5297880589299561,0.3965001254406011,0.41,0.41,0.43313158732510804,0.02313158732510806
778300,2025-04-16,2025,NYY,KC,1,0.5110586914250772,0.5619926,0.5283493420879548,0.5347472924187723,29,17,18,0.5297880589299561,0.5571554865135475,0.61,0.61,0.5283493420879548,-0.08165065791204518
778298,2025-04-16,2025,TB,BOS,0,0.5745391071014645,0.6036988,0.5844380142887307,0.5682267633487147,29,17,19,0.5297880589299561,0.5269258751724938,0.55,0.55,0.5844380142887307,0.03443801428873061
778296,2025-04-16,2025,PHI,SF,0,0.6153075977409791,0.56708276,0.5989365978754717,0.6065116279069768,29,17,17,0.5297880589299561,0.5803895731894854,0.57,0.57,0.5989365978754717,0.02893659787547176
778293,2025-04-16,2025,PIT,WSH,1,0.5264497230558729,0.5226491,0.5251595196530747,0.5347472924187723,29,18,17,0.5297880589299561,0.5471147264561619,0.52,0.52,0.5251595196530747,0.005159519653074707
778301,2025-04-16,2025,BAL,CLE,1,0.5239384046959437,0.5474411,0.5319169292337906,0.5347472924187723,29,16,16,0.5297880589299561,0.5249974743130316,0.54,0.54,0.5319169292337906,-0.0080830707662094
778288,2025-04-16,2025,SD,CHC,1,0.5628383434798012,0.6100274,0.5788577159234046,0.5682267633487147,29,18,20,0.5297880589299561,0.5638239859045286,0.53,0.53,0.5788577159234046,0.0488577159234046
778299,2025-04-16,2025,MIN,NYM,1,0.491161378583988,0.5251307,0.5026930215299694,0.5101580135440179,29,18,17,0.5297880589299561,0.5066485851326845,0.5,0.5,0.5026930215299694,0.0026930215299694193
778297,2025-04-16,2025,TOR,ATL,1,0.5417223970413101,0.51331246,0.5320780075526872,0.5347472924187723,29,18,17,0.5297880589299561,0.4795896957970751,0.47,0.47,0.5320780075526872,0.06207800755268722
778304,2025-04-16,2025,CIN,SEA,0,0.5025197166252546,0.49830484,0.5010888837205217,0.5080645161290323,29,17,17,0.5297880589299561,0.5032651019553497,0.48,0.48,0.5010888837205217,0.021088883720521756
778281,2025-04-17,2025,TEX,LAA,1,0.6396876976246121,0.63958514,0.6396528812492173,0.6266490765171503,30,18,17,0.5297880589299561,0.5803895731894854,0.61,0.61,0.6396528812492173,0.029652881249217278
778278,2025-04-17,2025,NYM,STL,1,0.5166092909514881,0.5622182,0.5320922525289894,0.5347472924187723,30,18,18,0.5297880589299561,0.5504663209380105,0.58,0.58,0.5320922525289894,-0.047907747471010564
778282,2025-04-17,2025,TB,NYY,0,0.4870819750631443,0.53681576,0.5039652226135011,0.5101580135440179,30,18,18,0.5297880589299561,0.4829687678242209,0.48,0.48,0.5039652226135011,0.02396522261350109
778286,2025-04-17,2025,DET,KC,1,0.5632737222135624,0.54904395,0.5584431086320677,0.5660377358490566,30,18,19,0.5297880589299561,0.5302986100084537,0.6,0.6,0.5584431086320677,-0.04155689136793228
778292,2025-04-17,2025,BAL,CLE,1,0.4488892261063641,0.4198589,0.43903423291717647,0.4346210995542348,30,17,17,0.5297880589299561,0.5249974743130316,0.56,0.56,0.43903423291717647,-0.12096576708282358
778279,2025-04-17,2025,PHI,SF,1,0.6086725274060769,0.5458257,0.5873377716140805,0.6065116279069768,30,18,18,0.5297880589299561,0.5803895731894854,0.67,0.67,0.5873377716140805,-0.08266222838591952
778283,2025-04-17,2025,CWS,ATH,0,0.4282421713241593,0.45316324,0.43670218476906997,0.4346210995542348,30,17,18,0.5297880589299561,0.3965001254406011,0.47,0.47,0.43670218476906997,-0.033297815230930006
778285,2025-04-17,2025,CIN,SEA,0,0.6197933038356218,0.59020954,0.6097504341629506,0.6106557377049179,30,18,18,0.5297880589299561,0.5032651019553497,0.56,0.56,0.6097504341629506,0.04975043416295055
778280,2025-04-17,2025,PIT,WSH,1,0.530153925800076,0.54468983,0.5350884652962412,0.5347472924187723,30,19,18,0.5297880589299561,0.5471147264561619,0.59,0.59,0.5350884652962412,-0.05491153470375876
778291,2025-04-17,2025,MIA,AZ,0,0.4144850746476747,0.44802323,0.425870352250829,0.4346210995542348,30,17,18,0.5297880589299561,0.4392736609943865,0.43,0.43,0.425870352250829,-0.004129647749171017
778261,2025-04-18,2025,MIL,ATH,1,0.6174572336697424,0.6643321,0.633369953659761,0.6266490765171503,31,19,19,0.5297880589299561,0.5704694833693842,0.65,0.65,0.633369953659761,-0.016630046340239013
778261,2025-04-18,2025,MIL,ATH,1,0.6174572336697424,0.6643321,0.633369953659761,0.6266490765171503,31,19,19,0.5297880589299561,0.5704694833693842,0.17,0.17,0.633369953659761,0.46336995365976097
778269,2025-04-18,2025,HOU,SD,1,0.5909574094741683,0.5399174,0.5736307388152144,0.5682267633487147,31,18,19,0.5297880589299561,0.5152614383842703,0.62,0.62,0.5736307388152144,-0.04636926118478557
778269,2025-04-18,2025,HOU,SD,1,0.5909574094741683,0.5399174,0.5736307388152144,0.5682267633487147,31,18,19,0.5297880589299561,0.5152614383842703,0.45,0.45,0.5736307388152144,0.12363073881521441
778263,2025-04-18,2025,TEX,LAD,0,0.46197514412839813,0.50250405,0.47573358880193095,0.459546925566343,31,19,20,0.5297880589299561,0.46272847067386935,0.48,0.48,0.47573358880193095,-0.004266411198069031
778263,2025-04-18,2025,TEX,LAD,0,0.46197514412839813,0.50250405,0.47573358880193095,0.459546925566343,31,19,20,0.5297880589299561,0.46272847067386935,0.17,0.17,0.47573358880193095,0.3057335888019309
778284,2025-04-18,2025,ATL,MIN,1,0.5230137819413155,0.47937533,0.5081997333694591,0.5101580135440179,31,18,19,0.5297880589299561,0.5538133398174258,0.59,0.59,0.5081997333694591,-0.08180026663054085
778275,2025-04-18,2025,BOS,CWS,1,0.5831021981380388,0.6134409,0.5934013399187444,0.6065116279069768,31,20,18,0.5297880589299561,0.6598791455065565,0.69,0.69,0.5934013399187444,-0.0965986600812555
778275,2025-04-18,2025,BOS,CWS,1,0.5831021981380388,0.6134409,0.5934013399187444,0.6065116279069768,31,20,18,0.5297880589299561,0.6598791455065565,0.17,0.17,0.5934013399187444,0.4234013399187444
778270,2025-04-18,2025,NYM,STL,1,0.5703066416771403,0.6018422,0.5810121012916959,0.5682267633487147,31,19,19,0.5297880589299561,0.5504663209380105,0.45,0.45,0.5810121012916959,0.13101210129169588
778270,2025-04-18,2025,NYM,STL,1,0.5703066416771403,0.6018422,0.5810121012916959,0.5682267633487147,31,19,19,0.5297880589299561,0.5504663209380105,0.68,0.68,0.5810121012916959,-0.09898789870830416
778277,2025-04-18,2025,DET,KC,1,0.4445047068746743,0.3873678,0.4251083097202337,0.4346210995542348,31,19,20,0.5297880589299561,0.5302986100084537,0.46,0.46,0.4251083097202337,-0.034891690279766296
